5	youthful	We had a great Halloween.
6	mature	His work's line were clean.
13	youthful	The photo did not appear
14	youthful	During the storm we grilled corn.
15	youthful	Today we celebrated our team with a special speaker.
17	youthful	Finally, the events and the trophies for the winners were ready.
21	mature	The bride and groom were so happy as they turned to walk down the aisle.
22	mature	There were many pictures taken of the marathon that was held by the charity organization.
23	mature	Everyone was being silly.
25	mature	The second phase is when the runners run along the river but the path is so packed!
28	youthful	they walk taking steps before classes have started
33	mature	It was a beautiful day on the coast.
37	youthful	Next monday, though, she worried she'd have to set up a tech presentation.
39	youthful	It was nice to see the guests dancing to the music.
40	mature	One of the scariest animals at the zoo was a huge grizzly bear.
42	mature	The bikes are lining up for the race.
45	mature	At the end of the day they all gathered for cocktails and dinner at a famous restaurant.
47	mature	The wife shares a kiss with her husband.
48	youthful	They went on a trip.
49	mature	The guests came hungry for a delicious meal.
51	mature	I took the train home.
55	youthful	His car drove through the facility entrance as looking forward to visiting her.
57	youthful	Then we looked out at the water.
60	mature	After dinner we went to a park that had a race facility.
63	mature	I promise this is the last picture.
70	youthful	Thier comeback tour was phenomenal.
72	youthful	The type of food was for a bbq.
73	mature	The bar's ambiance is low key and not trendy, with walls showing license plates.
76	youthful	Everyone joined together for memories and to mourn.
78	youthful	After everyone frosted their cakes it was time to eat!
79	mature	The boxers were announced to the crowd.
80	youthful	The jester visited the beautifully decorated fair.
82	mature	We stopped to relax and watch the koi in the pond.
84	youthful	IT IS A LEAVES
85	mature	When they finally sat to eat, each serving of food was delicious.
86	mature	It's 3 A.M. Everyone's plastered and it's time to go home!
87	youthful	However, the cake still came out okay.
88	youthful	People visit the temple a lot
90	youthful	Which connected to another bridge.
91	mature	Several group of friends set a meeting location after the event.
92	mature	Dwayne had a change of opinion and took the mike himself to sing "Oh Danny Boy."
93	mature	We do make a nice looking couple.
95	mature	Looks like there might be a little dancing going on at this party.
96	youthful	It was a bit of a relief to hear their promises being read if their votes are passed.
98	youthful	I needed to make the food, and the first thing I put on the plates was melted butter.
104	youthful	The workers always wear unique uniforms.
105	mature	The children had so much fun.
106	youthful	It was magnificent for the fourth of July.
110	mature	Oh,oh. I am allergic.
111	youthful	A boy tries to win something using a wheel at the event.
116	youthful	I step back into the funeral home and greeted the rest of my older family members. My mom called me over to give me something.
118	mature	Well, if that girl on the top ate ice cream it would probably melt all over that other girl's head!
122	youthful	I took a picture of the cool places I visited this month.
124	youthful	this is a marching band at the parade
126	youthful	He had a monkey shaped cake.
127	mature	Gathering on the porch with lemonade or maybe spiked is an agreed cause for celebration.
128	mature	We all had a wonderful time and learned a great deal.
133	youthful	The Honors marched down the aisle as the graduates followed behind in the auditorium
134	youthful	We will eventually need to replace the microwave.
135	youthful	The eggs appear and all of the kids are stepping on them.
138	youthful	He is a loyal and hard worker.
139	mature	As he had neglected to wear sunscreen, the clear sky was not his friend that day.
141	youthful	THE ADD IN BALL MATCH
144	youthful	The dog had purple ears.
148	youthful	Steve was having a birthday party with his friends and family.
149	youthful	They found many cool shells on the beach.
150	youthful	We were excited to see our lodging for our family reunion.
152	youthful	The passenger of the oncoming vehicle said his car incurred damage too.
156	mature	It is now for the bride and groom to say their nuptials
160	mature	We're having a great time outdoors today
162	mature	Meanwhile, Minnie is laughing behind Donald's back.
166	youthful	We finally removed it from the oven and cut it.
169	mature	Some of the people had costumes that looked giant.
170	youthful	The white team fought till the end.
174	youthful	They took pictures like long time friends.
180	mature	The classmates enjoyed each other so much they talked late into the night.
183	mature	A little dog is in the grass.
185	youthful	On its roof, we climbed to see a better view.
189	youthful	The parade was going past the male.
190	mature	I realized how much had changed when I was unable to read some of the Spanish words,that had replaced the ones my friends and I wrote in English way back when.
191	mature	While I'm there I like to take in the sights & get plenty of photos to show people back home.
197	youthful	My son wanted to go inside the cell to see things up closer.
198	mature	The crowd was happy at the charity.
201	youthful	Children hopped onto the tractors and pretended to drive.
202	mature	Walking along the shore in fresh snow is far more interesting than walking on sand.
207	youthful	The people rounded themselves around performers, watching the performances with anticipation and vigor, curiosity filling their minds as they gazed upon the costumes and decor.
208	youthful	There were weight training stations.
212	youthful	I made my way into the vacation cottage bedroom eyeing two twin beds.
213	mature	We got ready for the school concert.
214	mature	I introduced myself to this girl and asked her to pose for a picture.
217	mature	Through determination and inspiration I made my jump!
219	mature	Many houses have interesting colorful flags flying.
220	youthful	On a dreary night like this, the man was happy to have so much money.
222	youthful	Finally married at last.
225	mature	Our friend making a goofy face after it's over.
226	youthful	The girls loved to dance in their fancy dresses.
227	mature	Hey Ma, it's me!
230	mature	He enrolled in the 3 month "Weight-Busting with Colonics" program, at Vacaville community college.
231	youthful	I found that a lot of things had unique markings.
232	mature	The color of the tree served to protect bugs from predators.
234	mature	Mike is going to be the photographer.
235	mature	He came out of the forest and seen a huge lake.
238	mature	All of the flowers in the garden represented the colors of the rainbow.
241	mature	The parade started and the mayor drove by waving to the crowds.
242	youthful	What moves me is that i learned that i can be open with my friends and be happy.
243	youthful	9th street is a very nice part of town.
246	mature	They also went for a relaxing stroll along the mountain side.
251	youthful	Hundreds of vendors gave collectors so many options to choose from, from their favorite characters to even their least favorite.
254	mature	First we went to the run-down pier.
258	youthful	The women even supported the people running.
263	youthful	The fruit salad' s color was very appealing.
264	mature	This smiling face says it all!
268	mature	Everyone seemed to embrace the theme of the evening.
269	youthful	The parade brought local kids.
275	youthful	The band decided to practice.
283	youthful	People signed up and learned.
284	youthful	The Jaurez family was on vacation and just arrived in their taxi.
286	youthful	He anxiously watched as the cars raced around the track.
288	youthful	Some of the kids are now adults, but others have morphed into donkeys.
292	mature	Incredibly detailed Egyptian drawings depict life in ancient times.
294	youthful	More people showed up for the run, many of them girls.
295	mature	There is another billboard directing you in any direction that you may need, though in another language.
299	youthful	It was time for Jeds bah mitsvah.
300	youthful	Hopefully this measly letter of achievement will suffice.
301	mature	The band started setting up to play.
303	mature	We are all smiles after the ride and we feel really great about the money earned for lung research.
304	mature	The men are getting ready to have a nice dinner with some wine.
307	mature	This straight on shot is my favorite picture of my favorite bridge.
309	mature	It was a lovely day to go flying kites on the beach.
311	mature	It's Marly's birthday, and are we having fun!!
313	youthful	He loved the artwork at this station.
314	mature	Sometimes they also meet in the streets.
315	youthful	I ride and pipe some perfomance
317	youthful	Her mom thought she was hilarious.
328	youthful	There were lots of booths.
329	youthful	He decided to say hi and make friends!
331	youthful	I got closer to this post and it almost looked like it was part of nature.
332	youthful	A family celebrates the fourth of July.
334	youthful	They also hired entertainers.
336	youthful	This summer, my family went on vacation to the ocean.
338	mature	Here, there were many relics of humans.
340	mature	The team removed the trees to rid the area of any diseased trees.
347	mature	A normal morning starts as the couple eats their breakfast.
350	youthful	The party is getting out of hand.
352	youthful	It had some stunning lanterns in its gardens.
358	youthful	The second piece he looks at is also abstract, but black and white.
363	mature	When he got home, he looked at photos for ideas on what to do & who to ask to his weekend trip.
366	youthful	this is a photo of a couple
367	youthful	I've just started doing nature photography. Look at this mushroom.
