Points are awarded to drivers and teams based on their finishing order .	simple
Social media has changed how people interact with each other .	simple
A portion of the large kinetic energy associated with flow at high Mach numbers transforms into internal energy in the fluid due to viscous effects .	complex
There are wide , shallow valleys , and many granite rocks .	simple
This table lists every number that was once the largest known prime number .	simple
The South developed an agricultural economy .	simple
In the 14th century , the word described the roughness of woven cloth before it was cut .	complex
Pollinators are often visually attracted by the shape and colors of the flower .	complex
Testing was slow as they were still getting the Saturn V ready for Apollo 4 .	simple
Nepal is composed of seven provinces .	simple
From the perspective of the anti-nuclear movement , most of the problems with nuclear power today are much the same as in the 1970s .	simple
The following table lists the progression of the largest known prime number in ascending order .	complex
It is a fallacy because the moral character or actions of the opponent are generally irrelevant to the logic of the argument .	complex
Until the early 20th century , arsenic was often used to embalm bodies .	simple
Despite no longer being in widespread use , the rod is still employed in certain specialized fields .	complex
The bones were those of a very short man , little over four feet tall , who may have suffered from a form of congenital dwarfism .	complex
Estimates for the total number of casualties in the war vary , because many deaths went unrecorded .	complex
Hawks , like most vertebrates , have four types of color receptors in the eye .	complex
Iocaste belongs to the Ananke group , believed to be the remnants of a break - up of a captured asteroid .	complex
Title V includes technical provisions .	simple
Shall I help you with your homework ?	simple
Nobody spoke another word after the professor got mad .	simple
People with intellectual disabilities are often not seen as full citizens of society .	simple
He saw a psychiatrist for his depression .	complex
Statutory damages are an amount stipulated within the statute rather than calculated based on the degree of harm to the plaintiff .	complex
Unlike architectural design , where achieving a specific performance level is the main goal , microarchitectural design pays closer attention to other constraints .	complex
The award consists of an 18 carat gold medal weighing 3 tolas and a certificate of honor .	simple
I could n't do it even if I tried .	simple
Bangladesh is used to move narcotics made in neighboring countries .	complex
An attack where a charging wrestler jumps striking both knees simultaneously into the head , chest or back of the opponent .	complex
These animals have a long tail , small eyes , and few pectoral - fin radials .	complex
Typically the inner container is immersed about halfway into the working liquid .	complex
The top two placed teams from each of the eight groups qualified for the knockout stage .	simple
The shrub reaches 1.5 m by 1.5 m. Its flowers are hermaphrodite .	complex
It was built between 2003 and 2006 out of formerly barren lands .	simple
There are few characteristics common to all blues , as the genre takes its shape from the peculiarities of each individual performance .	complex
Murt died of cancer on 1 December 2014 , aged 68 .	simple
The island 's animals are mainly of the avian variety , although rabbits are long established here .	simple
This technique has long been used to produce flexible metal wire by drawing the material through a series of dies of decreasing size .	complex
The club 's traditional home colors are all white .	simple
The main economical resource is agriculture .	simple
The witches are sitting round a cauldron in a dark cave .	simple
Black tea is the national beverage , and is drunk after food is eaten .	simple
Did you brush your teeth ?	simple
The convention sets out the definition , rights and duties of statehood .	complex
Countries using proportional representation have less of a tendency to create a two -party system because successful smaller parties are common .	simple
Six field guides have also been published .	simple
Because of code sharing , a single flight may be shown with many different flight numbers .	simple
Elliptical galaxies range in shape from nearly spherical to nearly flat , and in size from hundreds of millions to over one trillion stars .	complex
In the event the electron absorbs a quantity of energy less than the binding energy , it will transition to an excited state .	complex
I wish I could tell you who was responsible , but we may never know .	simple
If I had known it would be like this , I would n't have come !	simple
The use of military organisations to police civilian populations is common to many time periods and cultures .	complex
This move is performed to an opponent set up resting back first against the turnbuckle .	simple
There will be a lot of international tourists in Japan during the Tokyo Olympics .	simple
Eggs are laid singly under old leaves of a host plant and are green or grey blue .	simple
No firm dates can be assigned to this Emperor 's life or reign , but he is conventionally considered to have reigned from 507 to 531 .	complex
He always boiled his broccoli .	simple
Like scallops , true oysters have a central adductor muscle , which means the shell has a characteristic central scar marking its point of attachment .	complex
The park has been frequently closed to visitors because of sulphuric gas emissions .	complex
The second-generation of the iPod was introduced on July 17 , 2002 .	simple
The cranial nerves provide motor and sensory innervation mainly to the structures within the head and neck .	complex
During World War I , the strait was of strategic importance .	simple
From 1975 a phenomenon is growing .	simple
The explosion killed 90 people and injured 1,400 others .	simple
Languages such as Tcl and Lua were specifically designed as general - purpose scripting languages that could be embedded in any application .	simple
The pumpkin is native to North America .	simple
Nepal is divided into seven provinces .	simple
It was then that I saw her .	simple
However , during the 20th century the river got worse .	simple
The test was too hard for any of the students to pass .	simple
Humans have had a dramatic effect on the environment .	simple
Hydrogen has three isotopes ; the others are called deuterium and tritium .	complex
The history of traditional sports is ancient .	simple
Though relatively rare , songs can fade out then fade back in .	simple
The most important part of the temple was the sanctuary .	simple
Detectors designed for modern accelerators are very big .	simple
Both sides claimed victory after the battle .	simple
There are not as many symphonies in A major as in D major or G major , but more than other sharp keys .	complex
Work on the temples began about 1264 BC and lasted for about 20 years .	simple
On what floor will I find the pajamas ?	simple
In a simple example , the two bromine atoms in 3 - tert- butyl- trans - 1, 2 - dibromohexane mutarotate by heating .	complex
Burns died on 25 May 2019 , at the age of 99 .	simple
There were 60 tornadoes reported in the United States in November , of which 46 were confirmed .	simple
There is also the Japan Monkey park , with different species of monkeys and other entertainment .	simple
The neighborhood has a distinguished history of notable residents .	simple
Bald eagles become adults when they are four or five years old .	simple
A capability enhancement program that started delivering improvements to UK guns in 2007 aimed at reducing weight and improving some components .	simple
Because of their abundance , seamounts are one of the most common marine ecosystems in the world .	complex
Like all eastern spices , pepper was historically both a seasoning and a medicine .	simple
A urinary tract infection in the lower urinary tract is known as a bladder infection .	complex
Tokyo is full of well - dressed women .	simple
On 31 January 2013 , he was shot and wounded during his bid for the presidency in 2013 .	simple
Historically there have also been negative consequences , mostly associated with the dams normally required for power production .	complex
It was the teacher who wrote that .	simple
Protostars are young objects that have not yet completed the process of contraction from a gas nebula to a veritable star .	complex
She did n't understand why many people disliked peas .	simple
During the Spanish Civil War he left his work to be in theater as an amateur actor .	simple
The metatarsal bones are often broken by soccer players .	simple
One of the main characteristics of dormice that live in temperate zones is hibernation .	complex
Because oxygen is more electronegative than carbon , the electrons in the bond are more towards it .	complex
Even though there were such criticisms , the novel was still very popular .	simple
My aunt had three daughters .	simple
Usually a libretto is written before the music , but sometimes composers wrote some of the music first and then looked for words to go with it .	simple
These camps were closed by October 1942 .	simple
Both of these industrial quarters were almost entirely destroyed by air raids during World War II , with the bombings of a single night from February 3 , 1945 .	complex
Dormice are small rodents , with a body length of between 6 and , and weighing between 15 and .	simple
After World War II many of the poorer Germans were displaced to Germany .	simple
During December to March , the lake turns to a vibrant cobalt blue color .	simple
Bopp died of liver failure on January 5 , 2018 , at the age of 68 .	simple
France began his literary career as a poet and a journalist .	simple
Building construction is the process of adding structure to real property .	simple
The reason for the designated hitter is because many pitchers are not good hitters .	simple
